code,name,ticker,market
1101,台泥,1101.TW,上市
1102,亞泥,1102.TW,上市
1103,嘉泥,1103.TW,上市
1104,環泥,1104.TW,上市
1108,幸福,1108.TW,上市
1109,信大,1109.TW,上市
1110,東泥,1110.TW,上市
1201,味全,1201.TW,上市
1203,味王,1203.TW,上市
1210,大成,1210.TW,上市
1213,大飲,1213.TW,上市
1215,卜蜂,1215.TW,上市
1216,統一,1216.TW,上市
1217,愛之味,1217.TW,上市
1218,泰山,1218.TW,上市
1219,福壽,1219.TW,上市
1220,台榮,1220.TW,上市
1225,福懋油,1225.TW,上市
1227,佳格,1227.TW,上市
1229,聯華,1229.TW,上市
1231,聯華食,1231.TW,上市
1232,大統益,1232.TW,上市
1233,天仁,1233.TW,上市
1234,黑松,1234.TW,上市
1235,興泰,1235.TW,上市
1236,宏亞,1236.TW,上市
1256,鮮活果汁-KY,1256.TW,上市
1301,台塑,1301.TW,上市
1303,南亞,1303.TW,上市
1304,台聚,1304.TW,上市
1305,華夏,1305.TW,上市
1307,三芳,1307.TW,上市
1308,亞聚,1308.TW,上市
1309,台達化,1309.TW,上市
1310,台苯,1310.TW,上市
1312,國喬,1312.TW,上市
1313,聯成,1313.TW,上市
1314,中石化,1314.TW,上市
1315,達新,1315.TW,上市
1316,上曜,1316.TW,上市
1319,東陽,1319.TW,上市
1321,大洋,1321.TW,上市
1323,永裕,1323.TW,上市
1324,地球,1324.TW,上市
1325,恆大,1325.TW,上市
1326,台化,1326.TW,上市
1337,再生-KY,1337.TW,上市
1338,廣華-KY,1338.TW,上市
1339,昭輝,1339.TW,上市
1340,勝悅-KY,1340.TW,上市
1341,富林-KY,1341.TW,上市
1342,八貫,1342.TW,上市
1402,遠東新,1402.TW,上市
1409,新纖,1409.TW,上市
1410,南染,1410.TW,上市
1413,宏洲,1413.TW,上市
1414,東和,1414.TW,上市
1416,廣豐,1416.TW,上市
1417,嘉裕,1417.TW,上市
1418,東華,1418.TW,上市
1419,新紡,1419.TW,上市
1423,利華,1423.TW,上市
1432,大魯閣,1432.TW,上市
1434,福懋,1434.TW,上市
1435,中福,1435.TW,上市
1436,華友聯,1436.TW,上市
1437,勤益控,1437.TW,上市
1438,三地開發,1438.TW,上市
1439,雋揚,1439.TW,上市
1440,南紡,1440.TW,上市
1441,大東,1441.TW,上市
1442,名軒,1442.TW,上市
1443,立益物流,1443.TW,上市
1444,力麗,1444.TW,上市
1445,大宇,1445.TW,上市
1446,宏和,1446.TW,上市
1447,力鵬,1447.TW,上市
1449,佳和,1449.TW,上市
1451,年興,1451.TW,上市
1452,宏益,1452.TW,上市
1453,大將,1453.TW,上市
1454,台富,1454.TW,上市
1455,集盛,1455.TW,上市
1456,怡華,1456.TW,上市
1457,宜進,1457.TW,上市
1459,聯發,1459.TW,上市
1460,宏遠,1460.TW,上市
1463,強盛新,1463.TW,上市
1464,得力,1464.TW,上市
1465,偉全,1465.TW,上市
1466,聚隆,1466.TW,上市
1467,南緯,1467.TW,上市
1468,昶和,1468.TW,上市
1470,大統新創,1470.TW,上市
1471,首利,1471.TW,上市
1472,三洋實業,1472.TW,上市
1473,台南,1473.TW,上市
1474,弘裕,1474.TW,上市
1475,業旺,1475.TW,上市
1476,儒鴻,1476.TW,上市
1477,聚陽,1477.TW,上市
1503,士電,1503.TW,上市
1504,東元,1504.TW,上市
1506,正道,1506.TW,上市
1512,瑞利,1512.TW,上市
1513,中興電,1513.TW,上市
1514,亞力,1514.TW,上市
1515,力山,1515.TW,上市
1516,川飛,1516.TW,上市
1517,利奇,1517.TW,上市
1519,華城,1519.TW,上市
1521,大億,1521.TW,上市
1522,堤維西,1522.TW,上市
1524,耿鼎,1524.TW,上市
1525,江申,1525.TW,上市
1526,日馳,1526.TW,上市
1527,鑽全,1527.TW,上市
1528,恩德,1528.TW,上市
1529,樂事綠能,1529.TW,上市
1530,亞崴,1530.TW,上市
1531,高林股,1531.TW,上市
1532,勤美,1532.TW,上市
1533,車王電,1533.TW,上市
1535,中宇,1535.TW,上市
1536,和大,1536.TW,上市
1537,廣隆,1537.TW,上市
1538,正峰,1538.TW,上市
1539,巨庭,1539.TW,上市
1540,喬福,1540.TW,上市
1541,錩泰,1541.TW,上市
1558,伸興,1558.TW,上市
1560,中砂,1560.TW,上市
1563,巧新,1563.TW,上市
1568,倉佑,1568.TW,上市
1582,信錦,1582.TW,上市
1583,程泰,1583.TW,上市
1587,吉茂,1587.TW,上市
1589,永冠-KY,1589.TW,上市
1590,亞德客-KY,1590.TW,上市
1597,直得,1597.TW,上市
1598,岱宇,1598.TW,上市
1603,華電,1603.TW,上市
1604,聲寶,1604.TW,上市
1605,華新,1605.TW,上市
1608,華榮,1608.TW,上市
1609,大亞,1609.TW,上市
1611,中電,1611.TW,上市
1612,宏泰,1612.TW,上市
1614,三洋電,1614.TW,上市
1615,大山,1615.TW,上市
1616,億泰,1616.TW,上市
1617,榮星,1617.TW,上市
1618,合機,1618.TW,上市
1623,大東電,1623.TW,上市
1626,艾美特-KY,1626.TW,上市
1702,南僑,1702.TW,上市
1707,葡萄王,1707.TW,上市
1708,東鹼,1708.TW,上市
1709,和益,1709.TW,上市
1710,東聯,1710.TW,上市
1711,永光,1711.TW,上市
1712,興農,1712.TW,上市
1713,國化,1713.TW,上市
1714,和桐,1714.TW,上市
1717,長興,1717.TW,上市
1718,中纖,1718.TW,上市
1720,生達,1720.TW,上市
1721,三晃,1721.TW,上市
1722,台肥,1722.TW,上市
1723,中碳,1723.TW,上市
1725,元禎,1725.TW,上市
1726,永記,1726.TW,上市
1727,中華化,1727.TW,上市
1730,花仙子,1730.TW,上市
1731,美吾華,1731.TW,上市
1732,毛寶,1732.TW,上市
1733,五鼎,1733.TW,上市
1734,杏輝,1734.TW,上市
1735,日勝化,1735.TW,上市
1736,喬山,1736.TW,上市
1737,臺鹽,1737.TW,上市
1752,南光,1752.TW,上市
1760,寶齡富錦,1760.TW,上市
1762,中化生,1762.TW,上市
1773,勝一,1773.TW,上市
1776,展宇,1776.TW,上市
1783,和康生,1783.TW,上市
1786,科妍,1786.TW,上市
1789,神隆,1789.TW,上市
1795,美時,1795.TW,上市
1802,台玻,1802.TW,上市
1805,寶徠,1805.TW,上市
1806,冠軍,1806.TW,上市
1808,潤隆,1808.TW,上市
1809,中釉,1809.TW,上市
1810,和成,1810.TW,上市
1817,凱撒衛,1817.TW,上市
1903,士紙,1903.TW,上市
1904,正隆,1904.TW,上市
1905,華紙,1905.TW,上市
1906,寶隆,1906.TW,上市
1907,永豐餘,1907.TW,上市
1909,榮成,1909.TW,上市
2002,中鋼,2002.TW,上市
2006,東和鋼鐵,2006.TW,上市
2007,燁興,2007.TW,上市
2008,高興昌,2008.TW,上市
2009,第一銅,2009.TW,上市
2010,春源,2010.TW,上市
